,Neighborhood.Name,2013_population,2014_population,2015_population,2016_population,2017_population,10-14_population,15-19_population,20-24_population,25-29_population,30-34_population,35-39_population,40-44_population,45-49_population,5-9_population,50-54_population,55-59_population,60-64_population,65-69_population,70-74_population,75-79_population,80-84_population,85-89_population,90-94_population,>=95_population,female_population,male_population,total_transports,Day_bus_count,Night_bus_count,%night_buses,avg_dist_metro_stations,avg_dist_day_bus_stops,avg_dist_night_bus_stops,avg_dist_other_transport,avg_ppl_unemployed_with_benefits,avg_ppl_unemployed_seeking_job,male_unemployed,female_unemployed,avg_male_unemployed,avg_female_unemployed,2017_unemployed,%unemployed_population,total_accidents,bad_air_quality_count,ppl_to_from_Sant_Martí,ppl_to_from_Sants_Montjuïc,ppl_to_from_Eixample,ppl_to_from_Abroad,ppl_to_from_Catalonia,Latitude,Longitude,km_to_center_area,km_to_banking_area,km_to_residential_area,1star_hotels,2star_hotels,3star_hotels,Clusters,Clusters Category
32,el Bon Pastor,12800,12670,12554,12589,12560,66.32,54.82,54.9,64.32,86.98,126.38,127.08,102.56,82.96,80.02,63.84,53.34,59.86,50.08,46.06,38.38,22.32,7.8,7.6,65.65,65.96041666666666,39.0,38,14,26.923076923076923,0.036937446551513105,0.5937315618642964,0.6115168667690996,0.0,444.10833333333335,104.58333333333333,343.9375,289.6354166666667,343.9375,289.6354166666667,10712,8.528662420382165,122,0,0,0,0,0,0,41.43695424074075,2.2031384814814814,6.19681556036565,9.33190502329839,9.06277621436332,0,1,0,1,Cluster 2
33,el Camp d'en Grassot i Gràcia Nova,34439,34043,33918,34234,34329,123.62,120.48,153.5,217.84,286.74,292.86,254.54,234.38,131.34,226.76,221.38,218.32,211.4,170.18,145.88,127.86,89.76,43.52,60.7,193.15625,163.01666666666668,27.0,22,14,38.88888888888889,0.05436700422789187,0.48290982197489823,0.5256071051241357,0.0,841.0666666666667,208.94444444444446,643.3125,564.7291666666666,643.3125,564.7291666666666,20806,6.060764950916136,172,0,0,0,0,0,0,41.40615666666667,2.163715,2.193684635234832,4.682280862567507,4.61858531341128,1,0,0,2,Cluster 3
34,el Camp de l'Arpa del Clot,37933,37795,38178,38104,38168,131.28,135.76,165.4,249.58,318.54,340.88,298.82,269.92,139.12,260.48,240.78,235.04,241.78,184.2,149.16,141.62,98.72,44.7,58.5,210.68541666666667,185.51875,77.0,13,6,31.57894736842105,0.5401095834259806,0.5187982028573189,0.5910785063111743,0.0,1177.55,270.5833333333333,857.59375,817.28125,857.59375,817.28125,29109,7.626545797526724,92,0,0,0,0,0,0,41.412024111111116,2.1832676666666666,2.98868188658732,6.430917900450334,5.835630952888169,0,3,0,0,Cluster 1
35,el carmel,31789,31659,31456,31355,31551,132.56,130.4,146.46,181.46,236.58,278.38,265.64,239.06,143.86,211.58,171.68,172.7,195.14,170.32,149.04,110.36,57.88,21.46,25.6,171.13958333333332,157.63125,38.0,53,20,27.397260273972602,0.37293668477634273,0.5578054599242939,0.5871777220668756,0.0,1089.475,227.625,801.1145833333334,731.4479166666666,801.1145833333334,731.4479166666666,26021,8.247282178060917,151,0,0,0,0,0,0,41.42210805194805,2.1564694935064934,4.0625153742930475,5.349705529061738,6.266425162863503,0,0,0,2,Cluster 3
36,el clot,27169,27035,26933,26898,27039,116.54,118.52,129.74,167.68,204.1,222.24,216.14,213.42,121.82,206.48,195.3,173.92,145.52,106.66,88.62,82.9,56.6,22.98,25.3,146.16666666666666,135.2375,27.0,19,9,32.142857142857146,0.17452002661049357,0.5166694124146399,0.5542653771773999,0.09910048405914008,806.925,180.125,603.8541666666666,539.8958333333334,603.8541666666666,539.8958333333334,19745,7.302415030141647,23,0,0,0,0,0,0,41.410475842105264,2.1893474210526316,3.063146780100852,6.814929776947455,5.951956946740537,0,0,0,2,Cluster 3
37,el Coll,7232,7203,7349,7391,7412,30.32,28.44,35.04,42.06,54.9,69.84,61.74,54.6,33.08,53.06,45.14,41.54,42.04,34.98,29.4,21.48,13.06,5.06,8.6,40.49375,35.729166666666664,20.0,19,7,26.923076923076923,0.0,0.3263330438191945,0.2966881411407793,0.0,165.8,40.013888888888886,128.80208333333334,108.45833333333333,128.80208333333334,108.45833333333333,4068,5.488397193739881,38,0,0,0,0,0,0,41.418503333333334,2.148833037037037,3.9252744000786524,4.636134187182797,5.842022544348041,0,1,0,3,Cluster 4
38,el congrés i els indians,14010,13921,14043,14044,14116,54.48,57.14,64.84,71.24,99.1,115.94,113.78,108.2,59.58,103.46,86.58,68.4,65.84,58.84,56.96,76.04,55.58,20.66,24.3,79.55625,66.55625,51.0,12,3,20.0,0.23879314314371758,0.3537543936168952,0.2667008824362241,0.0,406.44166666666666,98.59722222222223,316.8541666666667,265.1458333333333,316.8541666666667,265.1458333333333,9883,7.001275148767356,277,0,0,0,0,0,0,41.42445465,2.1797101999999997,4.236197577290238,6.934394591092668,6.966033202157227,0,0,0,1,Cluster 2
39,el Fort Pienc,31738,31494,31543,31653,32016,116.8,118.04,151.8,231.18,274.84,286.96,243.64,214.58,123.86,215.34,206.6,184.02,172.78,138.82,117.84,116.9,77.9,39.48,54.7,175.1875,154.90416666666667,75.0,21,18,46.15384615384615,0.5938494475460138,0.4961223469444279,0.4964694054904108,0.5592663254244503,794.775,196.84722222222223,602.4270833333334,538.6770833333334,602.4270833333334,538.6770833333334,19885,6.210957021489255,113,0,0,0,0,0,0,41.39687833333333,2.1815770196078432,1.4566349951995246,5.71650010718113,4.3455470943305645,0,5,0,2,Cluster 3
40,el Guinardó,35679,35534,35773,36136,36467,143.18,139.28,159.82,214.0,272.66,311.02,293.38,269.24,144.18,247.42,223.28,201.24,203.54,171.98,153.78,143.56,94.96,38.56,57.0,200.50625,173.6375,61.0,53,18,25.352112676056336,0.40408463178552106,0.6064440428634521,0.7589670949086044,0.0,1041.4166666666667,234.90277777777777,793.1979166666666,684.75,793.1979166666666,684.75,25256,6.925713658924507,184,0,0,0,0,0,0,41.41830804,2.174132333333333,3.4930769484554123,6.14882706250984,6.16445199617815,0,0,0,2,Cluster 3
41,el Parc i la Llacuna del Poblenou,14355,14613,14708,14838,15134,52.86,51.74,76.1,108.74,135.92,148.72,116.9,100.1,56.62,99.3,94.8,89.92,77.12,58.18,46.86,47.74,29.02,12.32,14.8,79.52291666666666,73.91041666666666,131.0,29,18,38.297872340425535,0.5618926680165978,0.6994304721300327,0.6871144193389279,0.7657020017698902,390.56666666666666,86.34722222222223,296.0625,256.90625,296.0625,256.90625,9538,6.302365534557949,234,0,0,0,0,0,0,41.3988142295082,2.1896690163934425,2.096410074255092,6.424281063738978,4.945905896151692,1,1,0,1,Cluster 2
42,el poble sec,40984,40278,40208,40055,40228,143.38,148.1,192.76,310.94,422.56,428.0,362.78,310.76,155.96,271.54,226.18,184.84,169.38,143.36,134.9,133.08,82.42,35.7,45.5,213.57708333333332,206.74166666666667,52.0,0,0,,0.0,0.0,0.0,0.0,1454.3416666666667,300.4583333333333,978.0416666666666,1065.2291666666667,978.0416666666666,1065.2291666666667,34720,8.630804414835438,148,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Cluster 1
43,el Poblenou,32838,33011,33437,33586,33843,159.96,121.54,123.56,182.34,269.08,350.2,352.84,287.2,189.4,227.8,183.68,146.84,134.82,111.2,99.7,101.94,74.6,29.58,32.8,178.27083333333334,169.05208333333334,65.0,31,17,35.41666666666667,0.46046146437143004,0.6898451634374376,0.6138082034387697,0.0,879.8916666666667,208.45833333333334,658.2395833333334,597.96875,658.2395833333334,597.96875,21836,6.452146677304022,134,0,0,0,0,0,0,41.40072063461538,2.201145903846154,3.009239946516061,7.407013910651555,5.777006547119344,1,2,1,2,Cluster 3
44,el Putxet i el Farró,29302,29171,29139,29368,29470,139.36,135.62,147.06,184.5,225.7,230.78,222.2,213.56,136.46,195.82,178.7,173.98,163.7,135.46,101.36,93.22,69.26,35.16,52.2,166.23541666666668,138.86875,56.0,34,20,37.03703703703704,0.536428976308184,0.6167748064642409,0.7051694530103492,0.43003345749621946,621.6333333333333,142.125,482.5208333333333,401.1145833333333,482.5208333333333,401.1145833333333,14920,5.062775704105871,150,0,0,0,0,0,0,41.40699776923077,2.1432043384615382,3.1618440771321,3.362418937440562,4.597123302063929,0,3,0,2,Cluster 3
45,el Raval,48800,47489,47142,47129,47608,176.52,184.22,309.58,486.38,556.44,541.84,446.48,365.54,203.22,287.2,223.98,172.18,147.7,119.4,114.18,101.22,69.84,30.34,36.3,225.78333333333333,270.4,24.0,31,11,26.190476190476193,0.7446118719281568,0.72756824281511,0.8364674323195556,0.0,2011.3333333333333,379.8888888888889,1106.5416666666667,1692.5416666666667,1106.5416666666667,1692.5416666666667,49606,10.419677365148715,24,0,0,0,0,0,0,41.38039521311475,2.1735365573770493,0.787537215955792,4.9350222582011245,2.553912105248093,5,24,3,0,Cluster 1
46,el turó de la peira,15593,15466,15389,15364,15467,63.36,65.72,79.02,90.54,110.16,125.0,118.14,116.98,67.98,114.96,85.96,60.52,51.04,53.9,79.44,98.08,70.06,20.64,14.9,86.52291666666666,74.475,96.0,17,3,15.0,0.32989271451020064,0.4030006094016661,0.35223850297755127,0.0,520.825,107.15277777777777,371.0104166666667,360.3854166666667,371.0104166666667,360.3854166666667,12469,8.061679705178769,588,0,0,0,0,0,0,41.43225925,2.1703014583333333,5.026376846918709,6.959472381466919,7.56542672654564,0,0,0,1,Cluster 2
