,Neighborhood.Name,2013_population,2014_population,2015_population,2016_population,2017_population,10-14_population,15-19_population,20-24_population,25-29_population,30-34_population,35-39_population,40-44_population,45-49_population,5-9_population,50-54_population,55-59_population,60-64_population,65-69_population,70-74_population,75-79_population,80-84_population,85-89_population,90-94_population,>=95_population,female_population,male_population,total_transports,Day_bus_count,Night_bus_count,%night_buses,avg_dist_metro_stations,avg_dist_day_bus_stops,avg_dist_night_bus_stops,avg_dist_other_transport,avg_ppl_unemployed_with_benefits,avg_ppl_unemployed_seeking_job,male_unemployed,female_unemployed,avg_male_unemployed,avg_female_unemployed,2017_unemployed,%unemployed_population,total_accidents,bad_air_quality_count,ppl_to_from_Sant_Martí,ppl_to_from_Sants_Montjuïc,ppl_to_from_Eixample,ppl_to_from_Abroad,ppl_to_from_Catalonia,Latitude,Longitude,km_to_center_area,km_to_banking_area,km_to_residential_area,1star_hotels,2star_hotels,3star_hotels,Clusters,Clusters Category
58,la Nova Esquerra de l'Eixample,57819,57619,57665,57648,58180,197.94,204.42,286.48,441.32,494.72,481.04,422.8,385.28,201.56,386.16,385.44,368.9,341.6,274.88,229.22,216.5,153.78,73.36,99.1,322.9916666666667,278.9479166666667,22.0,24,11,31.428571428571427,0.7260974035639985,0.714358164613204,0.803326145879527,0.0,1397.9166666666667,369.8888888888889,1059.5104166666667,965.3020833333334,1059.5104166666667,965.3020833333334,35304,6.068064627019595,73,0,0,0,0,0,0,41.38254480851064,2.1486825531914895,1.859947251357854,2.8423666055051364,1.8503058081177783,0,8,0,0,Cluster 1
59,la prosperitat,26299,26089,25979,26167,26389,107.66,107.38,116.88,140.2,182.58,222.42,206.82,191.62,114.42,167.08,146.46,135.04,160.32,163.88,147.14,114.06,58.76,23.04,17.7,143.47708333333333,129.27916666666667,58.0,14,5,26.31578947368421,0.06214177839785238,0.5423925121142686,0.5486670840166458,0.0,921.7833333333333,187.56944444444446,661.3958333333334,631.5104166666666,661.3958333333334,631.5104166666666,22152,8.394406760392588,377,0,0,0,0,0,0,41.44289486363636,2.1806039999999998,6.269182180147147,8.41536500788891,8.929234771365856,0,0,0,2,Cluster 3
60,la Sagrada Família,51806,51299,51097,51322,51539,172.56,181.68,242.18,369.76,454.16,445.6,387.02,367.12,173.92,364.94,342.16,301.86,279.78,222.14,198.22,205.82,153.96,71.82,96.2,289.9895833333333,245.55833333333334,45.0,30,19,38.775510204081634,0.4548854711493736,0.578007405242835,0.5347363335893096,0.0,1298.525,323.2638888888889,987.7916666666666,877.8125,987.7916666666666,877.8125,32465,6.299113292846195,70,0,0,0,0,0,0,41.40556758620689,2.176797448275862,2.136270534590488,5.634993019384824,4.948714718493341,0,2,0,0,Cluster 1
61,la Sagrera,28911,28660,28887,28796,29084,103.24,111.42,135.18,173.8,216.12,239.08,211.96,201.6,113.68,195.7,202.14,209.18,188.46,140.44,122.7,102.32,65.3,26.6,28.2,160.04375,140.66041666666666,34.0,23,15,39.473684210526315,0.11240692344111351,0.5323993258498285,0.5335287684796254,0.0,834.8583333333333,202.56944444444446,650.8854166666666,544.6145833333334,650.8854166666666,544.6145833333334,20303,6.980814193370925,58,0,0,0,0,0,0,41.42348406666667,2.188474511111111,4.332787108904378,7.459348716113087,7.164914063581319,0,1,0,2,Cluster 3
62,la Salut,13210,13166,13227,13118,13185,50.64,53.62,60.82,85.56,106.02,105.28,96.74,84.2,54.96,78.24,82.86,84.88,87.46,70.44,55.7,50.6,34.3,16.04,28.8,74.31458333333333,62.989583333333336,22.0,29,5,14.705882352941178,0.0,0.4467763920312312,0.40664186744244696,0.0,330.85833333333335,84.19444444444444,256.4166666666667,220.30208333333334,256.4166666666667,220.30208333333334,8208,6.225255972696245,31,0,0,0,0,0,0,41.41284282857143,2.1575349142857143,3.0567195535716,4.683402018839343,5.252443028534875,0,0,0,1,Cluster 2
63,la teixonera,11654,11435,11361,11277,11619,48.9,47.66,54.26,66.2,82.96,100.44,102.48,90.14,48.7,77.26,69.38,63.56,64.62,58.82,50.0,40.08,24.5,8.72,9.9,61.65,57.82083333333333,37.0,16,4,20.0,0.13405837499166037,0.4066491468544909,0.39824038107171306,0.0,324.7916666666667,69.93055555555556,234.88541666666666,223.55208333333334,234.88541666666666,223.55208333333334,7890,6.790601600826233,75,0,0,0,0,0,0,41.42282359090909,2.1460984545454544,4.456607614635573,4.898870079371337,6.328942928987761,0,0,0,1,Cluster 2
64,la trinitat nova,7551,7388,7332,7257,7261,35.18,33.76,38.98,44.54,52.12,60.06,60.38,56.3,37.56,51.92,48.24,36.02,30.6,21.82,25.24,33.32,23.42,9.14,9.1,40.08125,36.5625,29.0,21,8,27.586206896551722,0.16837542191361513,0.4155449772056962,0.4308896595899543,0.0,404.8333333333333,70.48611111111111,260.125,298.78125,260.125,298.78125,9514,13.102878391406144,68,0,0,0,0,0,0,41.44947264864865,2.184536027027027,7.042055363753897,9.186096410931166,9.724055417134899,0,0,0,3,Cluster 4
65,la trinitat vella,10423,10241,10059,10032,9983,47.12,52.88,61.84,66.38,84.54,101.28,91.66,76.96,58.54,66.08,50.22,42.88,44.52,35.16,28.82,23.8,13.34,4.7,8.4,50.9375,54.766666666666666,23.0,22,3,12.0,0.33467005956901413,0.3964762384622589,0.7867646038866823,0.0,539.9166666666666,92.69444444444444,343.1666666666667,401.25,343.1666666666667,401.25,12645,12.666533106280678,64,0,0,0,0,0,0,41.45111265853659,2.1974069268292684,7.476834343123972,10.034320592391346,10.265244774369624,0,0,0,1,Cluster 2
66,la Vall d'Hebron,5494,5490,5468,5686,5784,24.68,24.94,24.38,26.56,30.7,35.94,42.44,42.26,23.38,45.8,38.86,32.92,39.68,36.28,27.96,21.02,14.04,5.02,5.7,30.645833333333332,27.525,51.0,13,5,27.77777777777778,0.6057498083135773,0.5664211703370648,0.7346912942525757,0.0,150.40833333333333,32.666666666666664,108.19791666666667,104.3125,108.19791666666667,104.3125,3671,6.346818810511756,77,0,0,0,0,0,0,41.430295173913045,2.1469442173913045,5.183925531217903,5.651913796189159,7.155125250716482,0,0,0,3,Cluster 4
67,la verneda i la pau,29154,28813,28738,28645,28691,116.28,117.32,132.92,150.74,181.14,217.56,218.58,207.6,120.06,197.42,181.1,173.26,190.78,172.7,153.48,130.08,72.94,28.02,33.3,157.225,142.86041666666668,28.0,36,12,25.0,0.054028686275098825,0.619015483094828,0.5966015090916058,0.0,1002.8916666666667,224.88888888888889,750.4479166666666,671.8333333333334,750.4479166666666,671.8333333333334,24715,8.614199574779548,121,0,0,0,0,0,0,41.42387815686274,2.2041981568627453,4.9894513335926645,8.59731835286009,7.8820389288985595,0,0,0,2,Cluster 3
68,la Vila Olímpica del Poblenou,9319,9364,9326,9335,9367,57.7,63.26,49.88,44.7,54.9,71.74,75.98,83.18,50.94,89.02,76.76,57.92,43.5,25.2,16.02,12.54,7.58,2.84,6.6,49.61875,47.69583333333333,50.0,13,10,43.47826086956522,0.04398475015756079,0.4673567084787821,0.474486695471247,0.4435361607409807,255.25,61.19444444444444,190.45833333333334,174.5,190.45833333333334,174.5,6349,6.778050603181382,178,0,0,0,0,0,0,41.39037107142857,2.1952299642857143,2.133490624657401,6.738660904700443,4.669644740626757,0,0,0,3,Cluster 4
69,la Vila de Gràcia,50615,50448,50415,50584,50662,167.74,149.06,213.6,397.26,554.38,544.78,430.84,349.96,186.1,314.86,279.34,248.96,228.2,187.1,172.46,183.0,138.02,67.16,103.6,287.21458333333334,239.29375,76.0,35,8,18.6046511627907,0.3828122471735957,0.6451911655865832,0.6319300752239904,0.054258392411419054,1312.475,307.31944444444446,998.625,872.4583333333334,998.625,872.4583333333334,31988,6.314002605503139,319,0,0,0,0,0,0,41.40258712,2.15538694,2.1245231592725555,3.8809731626419444,4.10017461344202,1,1,1,0,Cluster 1
70,les Corts,46183,45984,46000,45932,46009,167.92,176.38,220.5,293.86,324.18,342.22,319.66,297.74,182.78,306.38,321.42,320.1,323.74,255.24,197.92,173.36,119.2,53.38,79.9,256.3875,223.00416666666666,40.0,45,22,32.83582089552239,0.44997106545293375,0.6871052116882929,0.6633496476859125,0.6564533090801947,1118.075,295.6111111111111,871.8020833333334,747.5,871.8020833333334,747.5,27912,6.066639135821252,40,0,0,0,0,0,0,41.38727869736842,2.134581157894737,2.972411039631221,1.6562114074953294,2.6946351673973927,0,2,1,0,Cluster 1
71,les roquetes,15768,15564,15398,15398,15590,74.08,70.54,89.28,104.48,125.66,137.8,129.08,119.44,79.28,98.44,88.22,75.52,82.4,65.66,55.26,46.56,23.0,8.8,9.2,83.50625,78.40625,39.0,29,7,19.444444444444446,0.11764783376808975,0.3480302493757398,0.3205767544741574,0.0,622.725,124.0,443.2291666666667,428.1770833333333,443.2291666666667,428.1770833333333,15135,9.708146247594613,161,0,0,0,0,0,0,41.447271224999994,2.174706225,6.704606190264175,8.48998182368495,9.272763062837688,0,0,0,1,Cluster 2
72,les Tres Torres,15984,16161,16498,16473,16667,99.62,99.28,105.28,83.38,83.2,102.58,117.16,120.1,99.76,114.86,96.52,87.26,87.1,73.68,62.24,55.7,36.92,17.28,34.2,91.26041666666667,79.12083333333334,,21,9,30.0,0.3099189003554461,0.5812202032836526,0.666940257462291,0.2997892382065569,212.625,45.916666666666664,160.14583333333334,140.07291666666666,160.14583333333334,140.07291666666666,5344,3.2063358732825344,0,0,0,0,0,0,0,41.397368,2.1292541282051283,3.6062483846440974,1.7833361845221722,3.894999523641091,0,2,1,1,Cluster 2
